rmse,lr
1.343631868348732,0.0001
1.3398615526819178,0.0002
1.3342673524315487,0.00030000000000000003
1.3158061459290693,0.0004
1.267103634066183,0.0005
1.1893285084500975,0.0006000000000000001
1.1036956204761907,0.0007000000000000001
1.0415932764116447,0.0008000000000000001
1.018996935017486,0.0009000000000000002
1.0088149876627137,0.0010000000000000002
0.9841957638042363,0.0011000000000000003
0.9721443613396962,0.0012000000000000003
0.9661998132372238,0.0013000000000000004
0.9619119602860843,0.0014000000000000004
0.971031761851146,0.0015000000000000005
0.9602210646731383,0.0016000000000000005
0.959805059657446,0.0017000000000000006
0.9567674729834384,0.0018000000000000006
0.9523153800207487,0.0019000000000000006
0.9577698662921773,0.0020000000000000005
0.9597901710970062,0.0021000000000000003
0.9514879705227881,0.0022
0.9520908500925934,0.0023
0.9532223691026083,0.0024
0.959950475985714,0.0024999999999999996
0.9520576733662901,0.0025999999999999994
0.9546996456422675,0.0026999999999999993
0.9511481343859428,0.002799999999999999
0.9530534057833687,0.002899999999999999
0.9452680910876996,0.0029999999999999988
0.9603180788602516,0.0030999999999999986
0.9480824340399677,0.0031999999999999984
0.9450215619144521,0.0032999999999999982
0.9431684958212673,0.003399999999999998
0.9437146875545777,0.003499999999999998
0.9492056399154604,0.0035999999999999977
0.9539449429573192,0.0036999999999999976
0.9457293801067163,0.0037999999999999974
0.9488481189448632,0.0038999999999999972
0.9387180742662697,0.0039999999999999975
0.9595701885229858,0.004099999999999998
0.9440878984109272,0.004199999999999998
0.944571797974464,0.004299999999999998
0.9516456069156006,0.0043999999999999985
0.9435641078688377,0.004499999999999999
0.9491032003153625,0.004599999999999999
0.9543188357302532,0.004699999999999999
0.9443218126757184,0.0048
0.9388914576859501,0.0049
0.9526245044441511,0.005
0.9402332194628547,0.0051
0.9416866729945923,0.005200000000000001
0.9357103763962223,0.005300000000000001
0.9492757865166066,0.005400000000000001
0.9406843802313007,0.005500000000000001
0.9426250699535684,0.005600000000000002
0.9465103607573081,0.005700000000000002
0.9399285995112229,0.005800000000000002
0.9383719046790322,0.0059000000000000025
0.952841369077266,0.006000000000000003
0.9417452800411894,0.006100000000000003
0.9625297936224823,0.006200000000000003
0.9436551870712732,0.0063000000000000035
0.9475988506126264,0.006400000000000004
0.9387935198836135,0.006500000000000004
0.9457346185348839,0.006600000000000004
0.952605257946697,0.0067000000000000046
0.9539342662742744,0.006800000000000005
0.9480777782797246,0.006900000000000005
0.9734066066505775,0.007000000000000005
0.9517939304019944,0.007100000000000006
0.9524217135274653,0.007200000000000006
0.9423427441603397,0.007300000000000006
0.9495738108123178,0.007400000000000006
0.9702889674125319,0.007500000000000007
0.9564439059795614,0.007600000000000007
0.9586289227639003,0.007700000000000007
0.960043419894162,0.0078000000000000074
0.955972904427801,0.007900000000000008
0.9566236534385179,0.008000000000000007
0.9552538168927888,0.008100000000000007
0.9553459661105032,0.008200000000000006
0.9606700605633852,0.008300000000000005
0.9575962097188535,0.008400000000000005
0.9536087114695407,0.008500000000000004
0.9646416624655861,0.008600000000000003
0.9617915719678445,0.008700000000000003
0.9590299369444931,0.008800000000000002
0.9635583728263054,0.008900000000000002
0.9462853933567338,0.009000000000000001
0.968014253863764,0.0091
0.963831294329378,0.0092
0.9521108683833601,0.0093
0.9703800468409355,0.009399999999999999
0.9714029869326026,0.009499999999999998
0.9655193054314913,0.009599999999999997
0.9631287213747987,0.009699999999999997
0.9585228241490414,0.009799999999999996
0.9692786243658867,0.009899999999999996
0.9632690776194316,0.009999999999999995
0.9665199353170443,0.010099999999999994
0.9628941945693632,0.010199999999999994
0.9559196308002352,0.010299999999999993
0.9731423563004103,0.010399999999999993
0.970290123368133,0.010499999999999992
0.9572480625998327,0.010599999999999991
0.9640350256366149,0.01069999999999999
0.9662599476303727,0.01079999999999999
0.9701271615217947,0.01089999999999999
0.9807394028416613,0.010999999999999989
0.980822912720909,0.011099999999999988
